predicted_label,komentar
pembalakan liar,tp dirjen org menteri hutan yg longor bu karna ilegal loging karna hujan deras
alih fungsi hutan,nenek cerdas papar ekologi hutan gunung trsbut rusak buat manusia jabat rakus smga nenek sllu sehat kuat
komentar biasa,banyak yg donasi kayak ya bantu wartawan aja udah
alih fungsi hutan,kanwaktu cerita gunung ank anknya
sosial kemanusiaan,banjir po longsor
alih fungsi hutan,hutan gundul keruk pasir
komentar biasa,pengin nyantet orang yg ngelakuin ih
sosial kemanusiaan,ya allah kaktakut sperti jga
pembalakan liar,takut letus jtg
alih fungsi hutan,gunung meru
sosial kemanusiaan,duh bahaya
pembalakan liar,gas alam mah kak nya lereng gunung tebang tambang minyak eksplorasi gas alam normal
alih fungsi hutan,tau pt sae pkl kebun teh kaligua bumi ayu pintu masuk pt sae puncak sakub orang gunung slamet do both ambil gas nya gas alam tpi ga tau izin tdk karna banjir air nya tumpah banyumas sungai rahayu jalan kaligua nya aja rusak yg nya bagus
sosial kemanusiaan,viralkan kak yukkk selamat hutan indonesia jngan jdi korban buat orang kaya
pembalakan liar,up
alih fungsi hutan,kampung ku deket gunung slamet wee bocariku
alih fungsi hutan,dg slametortu q tinggal purwokerto
pembalakan liar,yaallah up kaa
sosial kemanusiaan,warga tindak
pembalakan liar,warga tindak klo ngk bencana
sosial kemanusiaan,ya allah part
alih fungsi hutan,pantes kemarin sempet waspada ya eru
kebijakan pemerintah,perintah lihat ga sih
sosial kemanusiaan,utn musibah barang kalidi gundul hutannyannti yg mangsa duduk kampung nyakita tggu lihat aja
pembalakan liar,manusia serakah
sosial kemanusiaan,ayok ajak depan generasi anak anak bangsa duli alam ulang ajar salah musibah
sosial kemanusiaan,biasa anak utk buang sampah tempat ajar tanggung tanam sikap jujur asih pimpin jg lahir rakyat moga masyarakat yg sadar ya kak
sosial kemanusiaan,banget mba ayok masyarakat depan maju sikap alam siplin jujur
perubahan iklim,dzolim alam
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
sosial kemanusiaan,tp jahat umur
sosial kemanusiaan,miris banget jabat negeri
kebijakan pemerintah,gubernur sumut udah gera kak butuh konfirmasi perintah pusat
pembalakan liar,argh anj anj anj
alih fungsi hutan,liat kayu gelondong liat serpih tanda kawasan bekas rambah
pembalakan liar,hutan babat bakar tebang sawit dll akibat longsor yg hambat alir air pindah mukim warga
sosial kemanusiaan,yg laut bnyk yg tinggal mukim warga sungai
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
alih fungsi hutan,sedih kak tinggal negara dg perintah yg ga peka
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
kebijakan pemerintah,perintah nya
kebijakan pemerintah,gak melulu salah perintah pusat krn masyarakat gak mnyadari tebang liar d mna buka lahan sawit ulanh masyarakat coba buka berita yg cek tesso nilo masyarakat ngamuk bubar taman tesso nilo krn buka lahan sawit elo tesso nilo d massa aparat hadang masyrakat ricuh bru bebera masyarakat ngamuk bubar taman tesso nilo ya bencana muncul alam marah
pembalakan liar,kebun sawit pohon tebang akar tebang pakai buldoserexcavator sdh rebah potong chainsaw
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
sosial kemanusiaan,proses tahun kak
sosial kemanusiaan,ayo kak kt bnyak sharing masyarakat biar lbh care krn bnyak yg ga duli
sosial kemanusiaan,ya kak
pembalakan liar,ga sangka nya liat aja
sosial kemanusiaan,realita nya tsk nya tutup oknum kl cm org yg sengaja korban
pembalakan liar,good job
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
sosial kemanusiaan,mantap jgn lupa mension harrison ford upload x treats
komentar biasa,yg
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
sosial kemanusiaan,sengsara dengar
kebijakan pemerintah,sdh bala bertahuntahun zulkifli hasan era menteri sby yg menandatangani tiktok wawancara dgn horison ford thn
alih fungsi hutan,ga reboisasi nya kh klo bayar pshdr kayu uang untk reboisasi klo nda salah usaha ny wajib reboisasi
kebijakan pemerintah,yg salah menteri yg
kebijakan pemerintah,malu gw bang baca komentar perintah kirim hercules helikopter anggota tni polri tewas lokasi bencana bilang ga bantu perintah miris susah ngasih tau fakta kena sakit hati
sosial kemanusiaan,dpr manusia ka iblis iblis
sosial kemanusiaan,nice bg ferri irwandi mantapp jugaa masyarakat yg donasiiii
kebijakan pemerintah,perintah serba salah ya mata benci ngebantuin salah gak ngebantuan perintah bantu segi apa catat sih bencana gak
sosial kemanusiaan,bare minimumtugas ga puji
kebijakan pemerintah,emg gaada yg bencana tp ulah perintah jg yg knp izin tambang sawit
alih fungsi hutan,oknum banyak
kebijakan pemerintah,yaaa yg tau aja sih serah lu bela perintah silah
kebijakan pemerintah,gw heran salah mulu perintah udh dibantuin coba klo sewa pesawat tuh klo mandiri
kebijakan pemerintah,mba perintah mengizinkancoba tunjukin surat bukti menngizinkan nya biar masyarakat tau layar
pembalakan liar,plis polos bgt
kebijakan pemerintah,oknum ga izin perintah pusat lol banget sih
sosial kemanusiaan,ya allah
kebijakan pemerintah,ya allah bangg presiden udah kasih bantu udah lokasi banjir jugaa dpr sih ga tau ya
sosial kemanusiaan,grub whatsapp sampe chet guys ku beli
kebijakan pemerintah,perintah jajar buka hp ya fyp ngg berita apaapa
kebijakan pemerintah,duh siah anak kpop munculliat kokpresiden dtg pengungsiyg suruh presiden umur hidup
sosial kemanusiaan,jngn belah penting
kebijakan pemerintah,yg penting buka lahan tambang sawit
pembalakan liar,ulah mulyono
pembalakan liar,akibat serakah jabat
kebijakan pemerintah,ulah sarjana kayu menteri menteri
alih fungsi hutan,kayu gelondonganhanya kayu rapuh bawa banjir jabat
alih fungsi hutan,kayu d babat air hujan air hujan tajem pis ampe motong sampe presisi gitu keren bgt tu air hujan
sosial kemanusiaan,kasi huni laut cemar gak si
pembalakan liar,jabat kapolda kapolsek anggota dprdnya ga tangkap paling yg kambinghitam warga lokal yg nebang
komentar biasa,alam bgt ya langsung nganterin barang bukti
pembalakan liar,akibat proyek amburadul jabat sibuk ngitung rugi
komentar biasa,yg suka nntn drama korea yg stdknya nyinggung politik dn bisnis momen kek gin tuh biasany selidik benar tp nyari alibi yg terima publik
sosial kemanusiaan,bisa yg wakil rakyat yg nanggapin ini rakyat yg kena dampak
sosial kemanusiaan,indonesia darurat hutan lindung
alih fungsi hutan,pantang hutan cerita mistis biar org ga wisata kesana endingnya nyolongin kayu ya banget ga klo tahun
alih fungsi hutan,kayu yg hanyut milik potong yg rapi potong pakai chainsaw kayu lai milik patah yg alami yg kasar ya ilegal logging
alih fungsi hutan,terllau fokus ikn hutan yg jadi kota bencana yg bukti hutan tiada
sosial kemanusiaan,penguasaapa yg kau buat kuasa mu tanggung nya
alih fungsi hutan,bubar usaha usaha kayu sawit
kebijakan pemerintah,tangkap menteri yg libat zaman
alih fungsi hutan,save hutan sumatra
sosial kemanusiaan,liat danau singkarak cantik bgt skrg bener udah gatau bentuk gmn lg pulih sumatera
sosial kemanusiaan,g yg berani ganggu bisnis naga adeknya prabowo
sosial kemanusiaan,kondisi danau singkarak kini
sosial kemanusiaan,anda anak adam lembah emas hasrat duniawi henti tanah kubur satusatunya benarbenar isi mulut
sosial kemanusiaan,telusur
sosial kemanusiaan,viralkan
pembalakan liar,bantu up
sosial kemanusiaan,ngeri kaliiii
perubahan iklim,bener alam udah muak tp imbas masyarakat
sosial kemanusiaan,yg kk lingkar kota batusangkar beda kk malalo
sosial kemanusiaan,oh gitu ya kak emang situ lahan yg gundul kak lihat bentuk abstrak cmiiw
alih fungsi hutan,kota kak kek gundul yg desa nagari pariangan kampung bawah gunung rapi alhamdulillah jaga
sosial kemanusiaan,alhamdulillah kak stay safe ya
komentar biasa,loh kak coba kakak zoom aja yg warna hijau sumatra kalimantan sawit hutan bener titik
sosial kemanusiaan,ya allah
sosial kemanusiaan,kak hehee
sosial kemanusiaan,beda
sosial kemanusiaan,sedih bang
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
pembalakan liar,kiri kanan yg hajar solok
pembalakan liar,era mulyani mulyono
komentar biasa,brarti kau uang donasi
sosial kemanusiaan,krn termul seperti
kebijakan pemerintah,presiden smpek skrng kalo dpr nya bejat ya bejat anehh bgt sih lu
sosial kemanusiaan,bang iyaa biaya operasional jt angka m bang ferry malaka donasi kayak nambahan iya salur m
alih fungsi hutan,gpp broo klo emng potong yg wajar gpp yg kasihan tuh klo anggap biaya adminstrasi
sosial kemanusiaan,bang dah ngikutin bang fery
sosial kemanusiaan,kalo lu yg panitia donasi nya lu pakek judol
sosial kemanusiaan,judol
sosial kemanusiaan,ko dpr sii kak nya jendral pajak aapa
kebijakan pemerintah,ferry irwandi bg dpr insyaallah bg ferry tuh amanah orgny
sosial kemanusiaan,kau ga ferry irwandi harta nya ya kasi kali kau suudzon kaya nya spill dr m aset
sosial kemanusiaan,termul
pembalakan liar,orang suudzon kerja emng bang ferry elu nilep
pembalakan liar,lupikir ferry gk kaya aja bangun universitas
pembalakan liar,tenang mas ferry irwandi samean coba carik orang ngumpulin m aja jarang percaya ngumpulin duit deddy corbuzier deddy corbuzier bodoh uang jt jt orang donasi timbang orang
pembalakan liar,hati sampe ktauan anis uang pinjam bayar utang
pembalakan liar,orang suudzon to mas pantau to blok angarannya alokasi mana aja tu pantau lapor sudsh pasti transparan beda kalo ngelola mental korup
komentar biasa,bisa fitnah aja lu
komentar biasa,browsing aja skema kitabisa kek donasi bencana alam
komentar biasa,mcam gk tau indo aja bro
sosial kemanusiaan,mimpi terjadiii
sosial kemanusiaan,syang dpr wakil rakyat sogo
sosial kemanusiaan,wakil rakyat kumpul tikus kotor
sosial kemanusiaan,wakil rakyat
pembalakan liar,nama kantor dpr bro sayang otak perilaku binatang
pembalakan liar,pimpin warga sipil
sosial kemanusiaan,gak dikit guede banget donasi btw kalo nggak salah kitabisa bilang kalo nominal donasi besar jam
sosial kemanusiaan,dapet segitu bang msk rekor dgn donasi dr rakyat utk rakyat gede nominal nice info bro
sosial kemanusiaan,iya bro jam dapet segitu gila bener bener warga jaga warga
sosial kemanusiaan,gak becus gimana puluh helikopter pesawat kapal darat disumatera lu bilang gak becus tambah m lebihh dikerahin bisaa tambah kalo
kebijakan pemerintah,sebenernya kalo satu dg perintah amanah indonesia maju
sosial kemanusiaan,bner banged rakyat ituloh hati mudah sentuh tapi sayang manfaat milu
kebijakan pemerintah,t l l perintah yg udh
sosial kemanusiaan,pin komen please
komentar biasa,tp jd enak kalo rakyat buka donasi utang ampe ribu t ga nyampe hajat situasi
alih fungsi hutan,bilang pemerinta aja maju yaa negara
kebijakan pemerintah,kata kyk gak pernh sekolah
kebijakan pemerintah,gw jd mikir pantes ya perintah taun naikin pajak rakyat krn pikir aja
kebijakan pemerintah,gak butuh perintah bantu kitaa rakyat indonesia aja udah salimg bantu
kebijakan pemerintah,aja gaji dpr pake pajak bantuin rakyat
kebijakan pemerintah,perintah ga becus lambe klo ngmng enteng bgt
sosial kemanusiaan,rt bang
kebijakan pemerintah,baca brita sno dkit slhin perintah
kebijakan pemerintah,ferry dlm tempo jam hasil kumpul m lbh gelar jabat tunggu lampu hijau dr tp perintah rapat izin tunggu lampu hijau foto lepas bantu upacara seremonial ferry doang yg satset tp bantu dr negara tetangga jg lbh gercep
kebijakan pemerintah,gak liat kah perintah jg udah nyalurin bantu kalo bilang ga becus mgkn detik bantu minimal kalo lg duka gin gausah giring yg bikin gaduh
kebijakan pemerintah,ferry dlm tempo jam hasil kumpul m lbh gelar jabat tunggu lampu hijau dr tp perintah rapat izin tunggu lampu hijau foto lepas bantu upacara seremonial ferry doang yg satset tp bantu dr negara tetangga jg lbh gercep
sosial kemanusiaan,maap lu ya
kebijakan pemerintah,ferry irwandi guna presiden
kebijakan pemerintah,guna gue anis
pembalakan liar,si dungu muncul
kebijakan pemerintah,gubernur nya nyumbang brp
pembalakan liar,bro urang mang ndak kalengkaleng emang lu tau gubernur ngasih urus aja keluarga mu yg ngarep pkh
kebijakan pemerintah,perintah sibuk ama lc baru
sosial kemanusiaan,lcnya emaklu
pembalakan liar,dpr jabat kaya
sosial kemanusiaan,bg
sosial kemanusiaan,iya moga cepat bantu
kebijakan pemerintah,nya jilat siram perintah
kebijakan pemerintah,stres udh bela perintah gadapet kursi komisaris
sosial kemanusiaan,pp
sosial kemanusiaan,telan undang diaa
komentar biasa,cm bs bela perintah blm nak dampak bencana aj gk tw gmn
sosial kemanusiaan,pidato
kebijakan pemerintah,gue liat cina yg usaha besarkonglo support perintah
sosial kemanusiaan,ahli jilat
sosial kemanusiaan,bahas undang undang kak
komentar biasa,mmnv buzer konten yg dsmapikn tdk proporsionl cndong berita yg dri jnjungnnny
sosial kemanusiaan,duduk yapping sampe perut buncit
alih fungsi hutan,oo anis ya
pembalakan liar,simpan salah jabat
sosial kemanusiaan,cma nyinyir
kebijakan pemerintah,cari muka kursi perintah
pembalakan liar,buzzer
komentar biasa,gila
sosial kemanusiaan,liat baca uu
sosial kemanusiaan,komentat
pembalakan liar,michschndr nihh orang
pembalakan liar,main domino
sosial kemanusiaan,digantitidak mutu
sosial kemanusiaan,funwalk partai psi kaesang bg
pembalakan liar,masyarakat muak nernak menteri gak pakai otak hati nurani bangsa masyarakat cuma mentripurbaya yudhi sadewa kerja masyarakat
alih fungsi hutan,masyarakat dompeng tengah hutan hayo ngaku aj
sosial kemanusiaan,lg sembunyi
kebijakan pemerintah,emang menteri hutan kk
alih fungsi hutan,kayu roboh
sosial kemanusiaan,vari ide
sosial kemanusiaan,pira pura pikun
pembalakan liar,ulah jabat kemarin
komentar biasa,yg lha yg jabat kena getah doank
sosial kemanusiaan,bayar tunai alam laku ini kayu mana buang badan kr klo usut tahu korupsinyaa
alih fungsi hutan,uda konfirmasi kayu lapuk tu
kebijakan pemerintah,ilegal legal bahaya legal gila
sosial kemanusiaan,citra
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
alih fungsi hutan,tri taek taa
sosial kemanusiaan,ngumpet
pembalakan liar,tangkap wowo
sosial kemanusiaan,aamiin
sosial kemanusiaan,iya bener baget kak
komentar biasa,yg sorot dpr mulu yak jabat aja
kebijakan pemerintah,dpr lo tau panjang g tholol
komentar biasa,sampah g
sosial kemanusiaan,betol
pembalakan liar,nurfa lestari aja mikirin jalan dinas lol
alih fungsi hutan,kalo pikir orng hutan hilang
sosial kemanusiaan,reboisasi ga mudah btw mesti dibersihin lahan kalo melulu ngandelin komunitas pemda pempus ga tanggung
alih fungsi hutan,iya yg pikir nya yg bagus kali nanam pohon dimall ama dicafe yah serius lembut guru udah tauladan murid maaf ya bu guru lembut
sosial kemanusiaan,erti guru bgkerjanya update status dicafe and mall
sosial kemanusiaan,iya deh buk guru yg hatipengerak tanam ribu pohon
sosial kemanusiaan,gabisa langsung tanam kak lahan tanam baik bikin rumah fondasi blm bagus ya tanah unsur kandung dalam preplanting faktor krusial
sosial kemanusiaan,terimakasih kak
sosial kemanusiaan,kalo yg wilayah dampak fokus ngurusin korban kak bersihin lahanbatang pohon sera mana
kebijakan pemerintah,aja cm perintah ga bantu bikin safety net ngatasin tebang illegal pohon tsb klo ga aja
pembalakan liar,iya
sosial kemanusiaan,susah kak kalok gakada lahan nya
sosial kemanusiaan,kak ayok gen z indonesia gencar reboisasi daerah bencana kali tampar
alih fungsi hutan,kak owen pacar peluk galang dana tanam pohon kembaliii sumatera
sosial kemanusiaan,terimakasih info nya kak
sosial kemanusiaan,susah ya rakyat nanem kuasa babat gmn th
kebijakan pemerintah,owen udh proyek dr
pembalakan liar,udah kak komunitas kayak go green reboisasi gak up aja
sosial kemanusiaan,adaaa jeremy owen udah ngumpulin donasi rencana reboisasi hutan sumatra nunggu baik cmiiw
pembalakan liar,iya bgt
komentar biasa,owen udah
sosial kemanusiaan,ya allah kak kek mama medan makan indomie pdhl skit bawa gaboleh makan tp gada makan wktu smga kuat kak yg tahan
sosial kemanusiaan,iya dek makasih
pembalakan liar,insyallah allah kuat sehatkn ya kaa
sosial kemanusiaan,ya allah kak coba posting aja kak biar viral biar tau lokasi detail nama desa alamatyg donatur mudah tau bantu
sosial kemanusiaan,desa blang peuriakecamatan samudera aceh utara
sosial kemanusiaan,kak tahan yaa yg gerd paham sakit lambung makan mie instan
pembalakan liar,kak pngen bgt sumbang baju baju ku ana tpi g tau hrus mana minim informasi btw dr cirebon klo info tolong kabarin yaa
sosial kemanusiaan,kak paket aja pake jne kak cek ig jne program kirim paket gratis ongkir alamat tuju urus jne wilayah dampak jd tinggal bawa paket aja
sosial kemanusiaan,terimakasih bnyk kak informasi coba ya kak
alih fungsi hutan,kaka kirim jne drop point ka gratis bilang posko bencana aceh sumatra kg hari nya
sosial kemanusiaan,kak bngt kirim lwt jne maksimal kg free ongkir wilayah sumatera yg kena dampak bencana ayo kak bsok kirim saudara dsana
sosial kemanusiaan,oke kak mksh yaa
sosial kemanusiaan,moga sllu dsehatkan kuat ya kak insyaallah lalu
sosial kemanusiaan,sehat ya keluarga kak
sosial kemanusiaan,gak sehat kakbadan udah demam batuk sisa lumpur debu tapi semangat keluarga
sosial kemanusiaan,bantu dr warga masyarakat indonesia mngkn dlm jalan yg ikhlas dn sabar ya saudara
pembalakan liar,yg saudara posko cepat infokalau kampung gak tau apasaya udah beli baju sembako orang rek langsungalhamdulillah rezeki anak ortu
sosial kemanusiaan,kakk sabarrr yaaa akuu kirim baju yg baguss dipakee
pembalakan liar,dengar jne kak yg kirim aceh itu minimal kgkalau sumbang masuk pos kampung gak bagi kan gak nongkrong pos rumah sih lumpur biar roboh yg tidur rumah
sosial kemanusiaan,kak udh galang dana kmrin kriim bahan kesanaa tp gk da akses jalan mnuju lokasi g da bantu tp tahan lokasi
sosial kemanusiaan,iya kk
pembalakan liar,omon omon aja menteri hutan main poker sangka ilega logging diam aja
pembalakan liar,si bpk pidato ga takut tanam sawit semuaitu jln yg buka lahan
sosial kemanusiaan,prabowo bagi jatah kali ahhh
alih fungsi hutan,nanam singkong numbuh jagung berpolibag hutan yg gundul beliau
pembalakan liar,prabowo aja milik salah usaha
komentar biasa,tunjuk bukti
sosial kemanusiaan,google itttt coba
sosial kemanusiaan,jgn google bukti video klo google ya cb aja gubernur terbdoh indonesia tuju ngga jgn pake google
pembalakan liar,gimana sih nyap nyap u ngga percaya prove it biar u tau
sosial kemanusiaan,sdh tau krn sdh cek yg dr google
sosial kemanusiaan,then
pembalakan liar,haha prabowo ga polos yg lu
komentar biasa,klo ga tau diem aja
pembalakan liar,lalai pmrintah sblumnya prabowo sikap kpda yg trlibat mskipun skarang mreka jabat wiwi dalangnyajadi pmimpin thn mndatangkan utang bencana
komentar biasa,loh kolam wk
sosial kemanusiaan,fahami narasi mbak
pembalakan liar,ilegal legal bahaya legal gila prabowo saham pt yg babat hutan
pembalakan liar,prabowo deforestasi
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
sosial kemanusiaan,gk sih bang bang ferry makzul paling abai aja mosi percaya yg dpr sarang busuk taro pcs harum bangkai gak beres ya gak dampak
kebijakan pemerintah,ferry jiwa tan malaka perintah aja tahan resign pns
komentar biasa,gak bro indonesia org jujur gak pakai
sosial kemanusiaan,a
sosial kemanusiaan,kalah bro ratus tikus gigit ferry kalo jdi ketua dpr
kebijakan pemerintah,ferry kapabel dr presiden konoha
sosial kemanusiaan,naive
sosial kemanusiaan,krna sbgai ssma makhluk hidup mmng mmbantu
sosial kemanusiaan,grub whatsapp sampe chet guys ku beli
komentar biasa,dana nya masuk rekening pribadi hahaha
sosial kemanusiaan,salahmalahan ancam elit politik konoha
sosial kemanusiaan,apbdnya
komentar biasa,duit pribadi lu jg blm kluar klo ad yg tolong jalan makan
sosial kemanusiaan,aq takut ny tuntut keg agus novi dlu novi yg kena nyaa
pembalakan liar,lc tau apa
sosial kemanusiaan,emang jabat manusia bang
pembalakan liar,iya
sosial kemanusiaan,naaaa temenbantu doa nya papa rantau aceh udah minggu gak kabar moga papa baikaja moga bencana sana cepat reda moga korban jwa
sosial kemanusiaan,amin
sosial kemanusiaan,aamiin gimana ka ud ad kabar papah
sosial kemanusiaan,alhamdulillah terima kasih sma temenyg udh doainaku udh dapet kabar atas papa atas papa alhamdulillah selamat msih blm krna tutup akses keluar dapet bantu karna emg daerah yg gak jangkau
sosial kemanusiaan,alhamdulillah kak moga papa kaka teman kantor lindung allah swt aamiin
sosial kemanusiaan,alhamdulillah
sosial kemanusiaan,amin btw udah semenjak lu komen gimana kabar nya
pembalakan liar,hubunganya korban emang orang sumatera ngga keluarga sumatera
sosial kemanusiaan,iya kasi banget liat nya
sosial kemanusiaan,bener ka sibolga
sosial kemanusiaan,ga koq kak udh kemarin seliwer
alih fungsi hutan,kak kemarin tmn ku nelpon orng medan kabarin berita nya jam loh scrol tt fyp tumbler
pembalakan liar,bohong pisann jir
pembalakan liar,scroll nama muncul kok jgn kau tunggu fyp akun lama
alih fungsi hutan,karna fyp tt tuh sinkron yg lo tontonlo nya nonton perselingkuhanjdi g muncul berita gni
pembalakan liar,orang tau gimana cari nya dogo banget luu
pembalakan liar,brrt elu kepo nya am tumblr makan fyp nya
sosial kemanusiaan,ribet lu tante
sosial kemanusiaan,dih muke lu tante
sosial kemanusiaan,iyya udh ank
komentar biasa,follow akun kak akun alay difollow cek kakak gak follow akun kudet aq ditiktok gak follow akun aq follow deny sumargo dithreads follow akun ig berita kini
sosial kemanusiaan,gak kepo apa kecuali maaf nya kak sy nga nonton tv sibuk kerja pengn hp mlm scrol tt pagi mlm doang jdi tau dn kabarn sm tmn medan
komentar biasa,aja langsung pdhl gak keluarga sana kau ngeles aja
pembalakan liar,ya brrti km sllu nnton berita tumblr smpe abis km likeshare mngkin bukti fyp bahkn sblm tumblr
kebijakan pemerintah,gak yah
kebijakan pemerintah,mknya klo tau gak pancing ribut
sosial kemanusiaan,dih emang nya nya ngetik kek gitu sewot banget luh
sosial kemanusiaan,tv udah berita kak
alih fungsi hutan,lo kak kakak search banjir sumatra search algoritma langsung muncul
alih fungsi hutan,tau loh kak gak nonton tv kabar aj sm tmn medan search tiktok na fyp bginian netizen awur bohong emng fyp akun mslhnya emng knp sih yng komen tante aduh
sosial kemanusiaan,kk maaf gabisa bantu apa doa moga cept selesai baik lgi keep strong yaa
sosial kemanusiaan,sabar kak
sosial kemanusiaan,sabar
sosial kemanusiaan,kak
sosial kemanusiaan,semangat ya kak kita cuman ikhlas
sosial kemanusiaan,mana hancur
sosial kemanusiaan,baca uu no th ttg indikator bencana bencana nasional blm tetap krna blm penuh indikator yg dittpkan uu trsbt
alih fungsi hutan,tahu bncananya cuaca mlainkan jarah hutan alih fungsi hutan
kebijakan pemerintah,jawa prihatin gak embelembel dendam tau ngomong bencana nasional gak jawa ngehujat dendam prihatin
kebijakan pemerintah,prasaan gak yg bahas suku yg bilang perintah pusat
komentar biasa,emangtapi yg disalahin jawa jawa yg bencana gak dipeduliin
kebijakan pemerintah,mungkn karna perintah pusat pulau jawa nya yg nyalahin jawa tp gk orang yg nyalahin ms
alih fungsi hutan,kakak tau jawa muak pemerintahanperdpran yg keluarga kerabat yg sejahtera sampe gedung dpr rumah anggota dpr jarah bukti pulau jawa yg rantau daerahprovinsi ken gitu lho indo damai satu
sosial kemanusiaan,kak muak jabat rakus penting sendiripadahal rakyat lapar sya jg ken indonesia makmur damai dant tentram gak korupsi tp aja org pecah belah rakyat indonesia
pembalakan liar,bilang coba spill
sosial kemanusiaan,baca
kebijakan pemerintah,bntar lg pd pojok jawa
alih fungsi hutan,mas tinggal ketik aja
komentar biasa,laah pikir kena azap
kebijakan pemerintah,tetapin bencna nasional kebun sawit tutup perintah yg kebun sawit rugi deh
perubahan iklim,banjir bandang tsunami
kebijakan pemerintah,udah d kasih sunam gk tobat klo udah gin nyalahin presiden bpk aja yg presiden coba puyeng gk kpalanya
kebijakan pemerintah,salah presiden apakenapa jdi bawapresiden
kebijakan pemerintah,presiden ngatur hujan panas siang malam g pinter g tobat
pembalakan liar,tau diamungkin keselsama presidenmarah
sosial kemanusiaan,bego
