predicted_label,komentar
sosial kemanusiaan,darah didih wajar ratus nyawa nyawa nilai harga dollar harga uranium
alih fungsi hutan,jabat suap milyar inpaknya negri aceh sumut sumbar babat habis hutan yg
alih fungsi hutan,prabowo tindak henti izin tebang hutan hti biar sumbar sumur aceh hancur
sosial kemanusiaan,ayo wowo kirim bantu palestina ayo wowo kirim bantu palestina ayo wowo kirim bantu palestina
pembalakan liar,nepal aja napa gk
kebijakan pemerintah,kaum liat bencana tuduh laknat tuhan orang normal ga tolol mabok agama
sosial kemanusiaan,subscribe juta juta m bln sisa gantung aktifitas konten
kebijakan pemerintah,dalil hukum mati
sosial kemanusiaan,tunggu gempa tsunami deforestasi bencana longsor banjir
sosial kemanusiaan,warga prov msh diam krn sibuk ngurus derita yg sdg hadap dlm hati pikir utk hidup gabung prov utk hidup luar nkri krn mmg gk anggap nasional kd internasional bawah panji sendori
kebijakan pemerintah,perintah nya malu kalo bikin bencana nasional palu aja parah nggak jadi bencana nasional bang
sosial kemanusiaan,moga saudara saudara kena bencana tabah angkat derajat aamiin
kebijakan pemerintah,hidup jokowi
sosial kemanusiaan,ahmadsofyan gak nyambung mul termul dasar termul dongok
sosial kemanusiaan,bang ferry speak up udah darurat n reaksi perintah yg lamban
sosial kemanusiaan,boby nasution masinton pasaribu yg lantang
alih fungsi hutan,awas ajah nyapres lg tandain gara sepele deforestasi nyamain pohon sawit pohon hutan rakyat aceh sumatra korban
alih fungsi hutan,menteri hutan mana nih ngumpet ciri sukses jabat lingkung hidup hutan
sosial kemanusiaan,dear indonesia sumatra doa baik kalian
kebijakan pemerintah,naik duduk mu jt jiwa bang dapet kado spesial dri perintah suara milu
sosial kemanusiaan,smg bantu sgr keep strong gbu
kebijakan pemerintah,maaf tindonesia coba tiru sistem perintah amerika serikat mana as negara republik konstitusional federal bagi kuasa perintah federal negara bukti negara warga daerah maju sejahtera
sosial kemanusiaan,golong manusia serakah yg sebab rusa lingkung
sosial kemanusiaan,bunuh masal
alih fungsi hutan,bencana manusia gw ngeliatnya alam sembuh
alih fungsi hutan,terusin nebang hutan ganti sawit ya
pembalakan liar,update jarah gudang bulog beberapa ritel milik swasta ferry kait sechaos status nasional negara ngurusin
sosial kemanusiaan,masyarakat jajah pejabatbisa keos indonesiakalau presiden tindak cepat nepal jilid indo
sosial kemanusiaan,bobby
alih fungsi hutan,takut nama deforestasi tanam sawit gapapa sawit pohon daun peduli ekosistem
sosial kemanusiaan,sayang orang ignorant ga nonton
sosial kemanusiaan,rakyat sakit rasa jahat jabat yg bisa cengengesan akan dosagedeg bgt
sosial kemanusiaan,yg ulang ulang negeri misikin
kebijakan pemerintah,lihat video documenter harrison zulkifli tri hutan audah ingat si zulkifli ketawa cengengesan
kebijakan pemerintah,halah akal perintah rakus sengaja utk usir duduk sistematis wujud proyek strategis saat bencana alam milik korporasi eksploitasi lahan nyengir bohir cengengesan singapura jakarta
pembalakan liar,tutup
sosial kemanusiaan,lumbung uang penuh tunggu luluh lantah negri sadar bulu sayap garuda gugur lanjut karna serakah tinggal tunggu sadar garuda gerak awan
sosial kemanusiaan,pfs
sosial kemanusiaan,longsor banjir bandang benjana yg manusia manusia serakah
kebijakan pemerintah,bencana kacau sih lucu hujan singapore kena malaysia kena sumut aceh hancur gak marah sedih yah biar ajar deh eh lupa sensor perintah gw gak percaya jajah rakyat jual tumbal perintah
kebijakan pemerintah,gabung malaysia
sosial kemanusiaan,ga kompeten buruk manusia firaun makmur negeri kecele lawan hendak tuhan insyaaallah morning good people hey whats up you are still breathing today so be grateful you have truly committed a most vile deed lgbt o allah help us to bring down some of your punishment upon the group that spreads corruption so that they may return repent hopefully they will understand o my people if my presence among you and my rinding you of the signs of allah have become burdensome to you then i put my trust in allah so gather your plan together and your associates then let not your plan be obscure to you then carry it out against me and do not give me respite surah yunus inshaaallah do not stop at yourselves nor conceal this warning lest you become accursed peace between the two countries is unjust and unacceptable fight israel and its allies who help each other commit injustice on earth until they perish or surrender and there is no trial against allahs religion on earth hurry and choose jinn and mankind allah is giving sinners the chance to repent while at the same time he will punish those who persist in sin strive according to your ability and skill that is what allah taught his messengers i too act according to my ability woe to you who are not trustworthy with his trust truly allah is my lord and your lord i do not feel comfortable saying this but so that you can no longer deny it how is alaqsa hey the day of judgment opening in the name of allah the most gracious the most merciful verse the moon is mankind the sun is the jinn humanity has lost its honorgoodness the qur an they have abandoned the torah the gospel and the qur an o people of the book you are not considered believers at all until you believe in all three bunnasa testifies that the qur an is not manmade and that his messengers are true reference surah alqiyamah inshaaallah attention tawhid and the prohibition of worshiping other than allah say shall i take a protector other than allah the creator of the heavens and the earth surah alan am clear proof from the qur an surely clear proofs have come to you from your lord surah alan am the keys of the unseen bong only to allah and with him are the keys of the unseen none knows them except him surah alan am allah s guidance is the true guidance indeed the guidance of allah is the true guidance surah alan am when allah says be when he decrees a matter he only says to it be and it is surah albaqarah allah is the creator of the heavens and the earth he is the one who created the heavens and the earth with truth surah alan am only allah saves from calamities who is it that saves you from the darkness of land and sea surah alan am the messenger is not responsible for the disbelievers i am not responsible for your deeds surah alan am prayer and submission to allah establish prayer and fear him and to him you will all be gathered surah alan am family as protection from hellfire o you who believe protect yourselves and your families from a fire surah attahrim sincere repentance o you who believe turn to allah in sincere repentance surah attahrim command to fight disbelievers and hypocrites o prophet strive against the disbelievers and the hypocrites and be harsh with them surah attahrim the messenger s duty is only to convey there is no responsibility on the messenger except to convey clearly surah annur striving in allah s cause call to action go forth whether light or heavy and strive with your wealth and your lives surah attawbah woe to those who do not use their potential indeed allah will not change the condition of a people until they change what is in themselves surah arra d the qur an is not fabricated indeed in their stories there is a lesson for people of reason this qur an is not a fabrication but a confirmation of what came before surah yusuf the ruin of the unjust and deniers of truth indeed those who disbelieve and hinder from the way of allah have gone far astray surah annisa hypocrites cause corruption while claiming reform and when it is said to them do not cause corruption on earth they say we are only reformers surah albaqarah the meaning of jihad in defending the oppressed and why should you not fight in the cause of allah and for the oppressed men women and children surah annisa the messenger said o my lord indeed my people have taken this qur an as something abandoned surah alfurqan auuuu midnightlivemetrotv woe to you o corrupt nation disbelieving misleading arrogant and continually unjust evening it is up to you whether you wish to be a muslim or a follower of nuh ibrahim musa isa or muhammad this is the only true religion follow it as i too follow if you refuse that is up to you for there is no compulsion in religion but you must be aware and take responsibility for your choice what matters is do not associate anything with allah and do not spread corruption on earth do not prevent people from worshiping and seeking allah s pleasure for this is the only true religion allah named it islam and its followers are called muslims there has been nothing else since long before you can even imagine and if you claim to believe then pray facing the sacred mosque pay the zakat always do good and follow the guidance of the qur an inshaaallah woe to you o corrupted beings seek forgiveness from allah your lord surely he is the allforgiving believe in allah his angels his books and his messengers establish prayer facing the sacred mosque and follow the guidance of the qur an do good and give zakat surely i will continue to remind you of this illa an yasha a allah except if allah wills footnotes qur anic references surah nuh surah albaqarah surah albaqarah surah albaqarah surah alkahf surah nuh verses english translation verse and nuh said my lord do not leave upon the earth a single one of the disbelievers verse indeed if you leave them they will mislead your servants and they will not beget except wicked and disbelieving children verse my lord forgive me my parents whoever enters my house as a believer and all believing men and women and do not increase the wrongdoers except in destruction inshaaallah woe to those who report and erase this writing including youtube and all who are involved i only pray that you will not call it terrorism or anything like that albaqarah insyaaallah
sosial kemanusiaan,untung musibah menkeu yg sosok peran masyarakat luas cepat tanggap
sosial kemanusiaan,laah ko bawa bawa suku
sosial kemanusiaan,ya nira titik rusak susu negara
pembalakan liar,gw tau gw lamban pikir yg gw sadar laku dukung proyek udah tua peyot si gus tolol yg ngomong wahabi lingkung yaaa tu udah tua renta haus uang bentar mati sorry klo kasar gw dah sebel gak mikir lingkung karna bentar mati trus nikmat hrta yg ajal jemput yg kena dampak yg
sosial kemanusiaan,ok gak tua renta bahlil dpr muda yg dpr berkat nama orang tua tpi jabat muda tolol sih gak paham klo laku yg dukung boomer susah hidup
alih fungsi hutan,kayu gelondong hasil bala liar min pohon tua sapu banjir
alih fungsi hutan,sawit pohon fuck that stupid shit
sosial kemanusiaan,tsunami aceh th negara langsung gerak cepat utk tangan bantu dg bentuk peduli dr negara tsb gam redam
sosial kemanusiaan,gila banget indonesia negara kaya sdm nya limpah rakyat hidup susah timpa bencana jabat tdk amanah
sosial kemanusiaan,yahhh dr gitu bang jawa sentris yg mah bodo longsor banjir gempa gapeduli lambat nggu sampe putus presiden capek la setor pusat lancar
sosial kemanusiaan,up
komentar biasa,karma karna hina jawa jawa jawa
alih fungsi hutan,sawit pohon daun presiden konoha beliau lupa pohon tahan tumpah air hujan rapatbagaimana sawit jarak meter tahan laju air hujan
sosial kemanusiaan,prediksi siklon tropis filipina china hongkong taiwan september jangka evakuasi ya solusi utama kurang deforestasi buka lahan henti korban jatuh tindak evakuasi tindak cegah banyak
sosial kemanusiaan,data ilmuwan ahli yg gak sejalandgn penting pelak bencana lepas tangan tp untung ttp ambil no matter what ah manusia serakah
sosial kemanusiaan,hari aceh hubung keluarga aceh utara beda kabupaten kuasa jawa lambat peduli bantu formalitas rakyat
pembalakan liar,jabat tolol hilang harga tone deaf
komentar biasa,tumbler tinggal krl aje heboh sekonoha gilir bencana provinsi dsumatera pade tutup mata telinga mulut
sosial kemanusiaan,indonesia jawa provinsi sapi perah
kebijakan pemerintah,manusia hancur alam aparat perintah hrs tanggung krn lalai
kebijakan pemerintah,perintah yg ngasih tolol mending lngsng suruh bukti klo jelas salah lngsng jeblosin aja bangsat ngurus daerah ngeles nya ga masuk akal kayu pakai bilang tumbang bencana
perubahan iklim,hujan tetap hujan sakit bencana salah manusia
pembalakan liar,indonesia jawa sumatra lengkap alam nya ambil mari pisah reprendum
pembalakan liar,hidup muak liat presiden buzzer dukung fanatic nya debat ledeni
sosial kemanusiaan,mancaricau perhati lingkung bahasa economy oriented dindengar nggak berfikir natural side effects cuan doank cuan doank cuan doank cuan ya cuan nyawa manusia layang peduli pimpin allah swt tegur kadang siapasiapa nggak anggap mas ferry nggak suka orang jawa indonesia indonesia nggak jawa sakit presiden orang jawa melulu korupsi nggak mainmain
pembalakan liar,tinggal tunggu gera merdeka serentak seluruh indonsia lawan pulau jawa
pembalakan liar,gk status klo bencana tim perintah langsung hadir krn krn perintah yg akses gk status jomblo kek janda kek nasional kek yg mati gk status konoha ajing
sosial kemanusiaan,laknat yg bertanggungjawab
alih fungsi hutan,gimana nih mrpresidentakar pohon sawit kuat memitigasi longsorhehehehe
alih fungsi hutan,sawit daun httpsyoutubemijdjydvy
pembalakan liar,mr b tanggung ni
alih fungsi hutan,menteri hutan guna
sosial kemanusiaan,terimakasih bng fer
alih fungsi hutan,masmgkn ilegal loging ganti aja istilahnyakrn legal logingkrn kenya legalisasi bencana
kebijakan pemerintah,bg tahu gw darurat bencana nasional perintah daerah sanggup tanggul yg media medaia
kebijakan pemerintah,status bencana nasional tuju nya mulia sifat positif susah perintah pusat terap rugi status
sosial kemanusiaan,elon musk aja support bantu jaring source x
sosial kemanusiaan,kemenhut kemenhut
kebijakan pemerintah,presiden ter omon omon sejarah indonesia gimanalah orang milih si goblok presiden
alih fungsi hutan,pa wowo lahan hgu ya sumatera aceh coba ditelusurin tuh lahan
sosial kemanusiaan,bang mintak tolong bahasa bantu daerah tapteng sibolga pihak daerah kota bang camat dampak parah cium media bantu apa bang nmnya sorkam bang
kebijakan pemerintah,narasi tiktok aja jawa kena fitnah narasi perintah ga buat gilir bantu malaysia tameng bener sanjung
pembalakan liar,mahluk yg opini udah kongrit babtuan bencana inijangan batas narasi opini aja monggo aksi mahluk tuhan m
kebijakan pemerintah,gua ga tendensi gua heran bencana sumatra ratus orang tinggal ratus hilang ribu orang ungsi ga tetap darurat nasional provinsi kena bencana sama perintah ga sberapa ga penting yg desak utk ngeluarin dana darurat diserahin pemda pdahal apbn dr pajak org sumatra jg skrg tanya yg dilakuin perintah yg rusak hutan sumatra menjarain tendang usah negari negara kalah korporasi jgn harap perintah hati nurani
sosial kemanusiaan,duka pulau suci sayang tuhan lekas pulih ya
sosial kemanusiaan,dampak negatif otonomi daerah pemda raja tindak otonomi mending negara federal
alih fungsi hutan,hutan gundul bumi keruk uga ugalan uang peng peng ni alam marah dampak rakyat keruk hasil bumi hutan duduk manis rumah mewahmewah
sosial kemanusiaan,well said bang fer berfikir cinta masyarakat masyarakat jawa aja persentase percaya publik sumatra hitung mandiri
sosial kemanusiaan,duka musibah pulau sumaterasemoga amal ibadah korban tinggal dunia diiterima allohtuhan maha esadan keluarga ditinggaal kesabaransemoga lekas pulihaamiin sedih baca berita internet ttg bencana pulau sumatera mohon maafbeberapa bencana terjadidari bmkg masifdi media massaelektroniktvradio informasi ttg cuaca buruk badai terjadidan informasi potensi bahaya badai maaf nguli meruubah nasib konoha jpkalau disinitiap informasi hptv ttg cuaca kondisi cuaca hr datangdan akuratkecuali gempa blm masyarakat antisipasi sesuatunyamemang taqdirtapi diprintahkan iktiar bmkg blm alat pantau cuaca yg bagusmodernsemoga depan perintah gelontor dana moderenisasi alat pantau cuaca yg moga lekas pulau sumateraaaamiin
sosial kemanusiaan,alhamdulillah jabar kasih pimpin kdm emang konsen jaga lingkung moga saudara pulau sumatra dampak kuat tabah
sosial kemanusiaan,proyek mbg ratus triliun yg nikmat dukung lupa bantu rakyat alami bencana gimana propinsi yg alami bencana miris emang negara kelola orang yg tanggung
kebijakan pemerintah,perintah bertanggungjawab izinizin usaha keluar sebab bencana nasional korban dampak
kebijakan pemerintah,sebenernya ga kalo emang gak jadi status bencana nasional pemdanya gerak cepat tangan apa jenis pemdanya ga ngapangapain jam personal satgas aparat nya ga bantu manusia ga mafia suplai dimanamana pemda baik baik doang lupa sebab tahan hidup
pembalakan liar,masyarakat mode survival jarah bantu makan
sosial kemanusiaan,azab azab wkwk wkwk azab azab wkwk wkwk azab azab wkwk wkwk
sosial kemanusiaan,akibat serakah kuasa rakyat yg korban
sosial kemanusiaan,bencana akibat serakah manusia
kebijakan pemerintah,ah kalo lg anteng bener nyinyir pusat gilir status bencana nasional pusat tau ya daerah
sosial kemanusiaan,hasil jahat sempurna jabat aparat korup oligarki rakus masyarakat lokal daya manfaat bencana massif hasil kongsi jahat orang rakus duduk nikmat hasil rakus empati babat hutan gali isi bumi uras mata air mati henti orang rakus
kebijakan pemerintah,udah level sumatra kena bencana lagi udah final boss alam indonesia
kebijakan pemerintah,status bencana nasional gaya biar perintah pusat turun tangan warga turun tiktok duluan
sosial kemanusiaan,sumatra uji kalo raport bencana nilai udah a
sosial kemanusiaan,udah banjir longsor jalan putus tinggal kaiju muncul deh sadar darurat
sosial kemanusiaan,pusat turun tangan akses logistik ngebut nunggu warga bikin konten viral
sosial kemanusiaan,bencana nasional tuh lebay realistis lebay tuh netizen sempet ngememe
sosial kemanusiaan,udah ngk tolong negeri konoha
sosial kemanusiaan,udah jgn byk omon langsung terjun aceh kasih bantu materi
sosial kemanusiaan,innalillahi wainnaillaihi rojiunsaya daftar grup volunteer unt bencana iniuda ferryirwandio o
kebijakan pemerintah,harap sulawesi bencana tsunami gempa bumi liquivaksi tdk tetap bencana nasional
sosial kemanusiaan,nepal aja berani
sosial kemanusiaan,peduli alam ekosistem pegawai usaha tambang
sosial kemanusiaan,anak tiri negara sungguh miris org sumatera kondisi
kebijakan pemerintah,tuju tingkat bencana nasional
kebijakan pemerintah,perintah rakus penting butuh rakyat
alih fungsi hutan,bencana akibat rusa alamcyclone tropis penyebabakibat hutan sumatra gundul antisipasi cuaca ekstrimyg tanggung musibah usaha melaakukan tambang gundul hutandan jabat yg kasih akses
sosial kemanusiaan,tetap bencana nasional musibah banjir bandang longsor provinsi ujung sumatra inikarna bencana dampak rusa parah bnyk tel korban jiwahampir rupa bencana tsunami thn yg daerah yg pray for ujung sumatra banten
sosial kemanusiaan,tuju bang feri negara demokrasi kalo ngak mikir menganalisa suar
perubahan iklim,sy bilangin pohon investasi alampemanasan global ngga puya tameng akhirya pasrahnenek moyang lagu gundul gundul pacul gembelenganhutanya gundul gembelengan
kebijakan pemerintah,track record bencana nasional tsunami covid atur gempa palu aja gak bencana nasional status bencana nasional simbolik administratif orang fokus distrak ributin status doang
sosial kemanusiaan,jng begoin bang kalo alam lu rusak alas apa dampak warga proyek mah enak diem apart hotel ngabisin duit
sosial kemanusiaan,heran gua knp ya influencer konten kreator selebgram artis yg duit klo perintah lg byk gonggong tunggang perintah cari rating view like komen gilir program mbg sekolah rakyat gk tuh support ala sumbang ala gt kek kunjung kek ala kek kalian aj tuh sampah kyk jabat negara yg koar cari suara pas coblos memalukanmental sm aja nyampah bangsa
sosial kemanusiaan,tolong notice komen gua bang konten abang mindblowing izin bang tolong docu vlog bahas gaji dpr simulasi gaji pokok dpr tara pns tunjang tiada uang pensiun tiada simulasi dampak kerja signifikan dpr hilang fungsi rakyat simulasi untung hitung matematika sur plus apbn simulasi gaji dpr potong tunjang tiada uang pensiun simulasi alokasi dana didik gratis sehat gratis asumsi bang ferry irwandi indonesia emas realisasi gak henti komen buat docu vlog konten other opsi
sosial kemanusiaan,tangan beda banget tsunami
sosial kemanusiaan,skrng gerak lambat
sosial kemanusiaan,ya allah alhamdulillah ala kulli hall
sosial kemanusiaan,sumaterabutuhtandabencananasional
sosial kemanusiaan,yg serakah dpt untung siapaaaa yg korban
kebijakan pemerintah,perintah hmmm kalo dibiarin mati ngurangin tingkat miskin nih biarin aja deh
kebijakan pemerintah,oknum jabat oknum usaha yg serakah abai hukum alam yg
kebijakan pemerintah,gera separatis prri sumatera permesta sulawesi zaman orla akibat tindak pemr pusat yg diskriminasi daerah jawa pdhl sda pulau serap setor jawa pemr pusat
pembalakan liar,periode mana aja bkn salah anis yah
kebijakan pemerintah,knpa uero usa boikot sawitjkw ngeyelkata wowo sawit pohon
kebijakan pemerintah,perintah kalera
sosial kemanusiaan,ga realistis kah pancasila
sosial kemanusiaan,hidup jawa jawa khusus jakrta aman ngentod daun daun muda jabat bilang musibah takdir cuaca blalalala
sosial kemanusiaan,jawa krl kerja elit subsidi pulau layan dasar gmn sulit bgt itungnya
sosial kemanusiaan,valid investor percaya perintah yg cinta rakyat
kebijakan pemerintah,plis perintah kali denial plissssss
alih fungsi hutan,ubah rantau indonesia bukittinggi hati sedih tambah bencana alam allah maha moga selamat negeri sumatra barat aamin aamin aamin yra
sosial kemanusiaan,sebenernya simpel aja berani buat berani bertanggungjawab banjir tanah longsor sebab utama manusia curah hujan pohon fungsi serap air udah kurang
sosial kemanusiaan,ayo kerah tni au marinir bantu potensi lg kalo curah hujan lg
sosial kemanusiaan,bupati langkat jarak stabattanjung pura kmstabatbrandan km yg bantu ribu rumah tenggelam listrik padam jaring internet putus contoh jabat zholim sibobby gak nongol
kebijakan pemerintah,perintah daerah gimana
sosial kemanusiaan,tangkap tebang pohon penting
pembalakan liar,gw mah raka tutup mata gua mah
kebijakan pemerintah,ga bayang bencana jakarta pindah mana
pembalakan liar,bahaya tangan butuh pokok harga kriminalisasi muncul butuh peluang jarah bahan baku karna batas gamau tangan
kebijakan pemerintah,bang feri presiden ri cocok bang
sosial kemanusiaan,cerdas empat prinsip
sosial kemanusiaan,akibat rusak lingkung ya
kebijakan pemerintah,statement jabat yg bilang sebab cuman cuaca sumpah bener dungu cari aman duit udah masuk perut asbunmasyrakat udah pinterbukti bala liar udah gak cuman sumatradiam hutan lindung babat pelan ya akibatnyaalam udah murka
sosial kemanusiaan,trimakasi bg
pembalakan liar,teman gua sumut udah kgk makan jarah toko makan
sosial kemanusiaan,ekosistem ruksak tata ruang bobrok dikarnakan serakah manusia alam sembuh doa baik soudara daerah dampak
sosial kemanusiaan,daerah warning gempa
kebijakan pemerintah,moga urai yg presiden jajar menteri nya erti tindak cepat utk selamat rakyat
kebijakan pemerintah,tau negara langgan bencanambok perintah tim yg gesit alat canggih gitu loh antisipasi bencana tibakasi anggar yg besaralam dah rusak rampok brutal jabat korup usaha serakah ujung rakyat yg korban
sosial kemanusiaan,dukung eru tambangpembalakan hutan siapacari trus hukum matikrn dampak inipembunuh rakyat yg dosa
pembalakan liar,harga cabe telor ngeri tapteng kg cabe papan
sosial kemanusiaan,segelintirsegerombolanseganksekelompokberdaulat serakah kuasa ekonomipolitik rusak semesta untung gerombol
pembalakan liar,bahan makan bbm udah langka kak sebab harga bayangin udah gk harta beli utk makan aja mahal bantu lamban kali datang bencana udah hari bantu blm rata perintah ni takut air kah kakak aceh gk kabar udah gk tau kabar gimana tolong anak tiri aceh aceh indonesia
sosial kemanusiaan,terimakasih uda ferry irwandi engkau suara derita masyarakat provinsi pulau sumatera thank you
sosial kemanusiaan,bacott lu aja gak kasih sumatra
pembalakan liar,lu bacot jawa
sosial kemanusiaan,terima kasih suara bg ntah rasa anak tiri musibah jawa perintah pusat langsung gercap berita nonstop berita iya tumbler musibah bahan pokok lonjak harga
sosial kemanusiaan,menteri sosial giat sumbang rakyat
sosial kemanusiaan,gila ya kantong pribadi si anjing pliharaan asingalamrakyat korban sampe segitunya
sosial kemanusiaan,jujur kangen docuvlog ngerokok ruang bang
sosial kemanusiaan,semangat mari sumbang sumbang andal perintah ribu youtuber juta rakyat indonesia mari media sumbang
kebijakan pemerintah,udah ngak sanggup nyumbang butuh negara hadir rakyat
sosial kemanusiaan,upp
sosial kemanusiaan,mendantangani ijin tambang yg wajib penjara
sosial kemanusiaan,hasil bumi sumatra bawa jawa sumatera anak tiri
alih fungsi hutan,kawan sayangillah lingkung mengijinkan tebang liar tanam hutan yg gundul akibat oknum tdk tanggung
sosial kemanusiaan,greed
pembalakan liar,gk ush bacot jawa jawa cuman yg ditetapin bencana nasional tsuname aceh jawa covid sisa gempa dll jawa gk tuh bencana nasional gk ush bscot jawa jawa tetap bencana nasional dll jga gk ditetapin gara gempa cianjur yg dijawa gempa dll yg jawa org kek elu kalo bikin negara endingnya kek afganistan gk stabil sesuai bacot org gk kompeten
kebijakan pemerintah,perintah dipotongin hutan banjir longsor perintah
sosial kemanusiaan,iya hasil segilintir orang hasil gundul hutan ribu orang hilang rumah nyawa infrastruktur hancur rugi untung dampak
kebijakan pemerintah,harga satu indonesia emang mahal prabowo murah prabowo mohon tetap darurat nasional
kebijakan pemerintah,bencana alam dtg krna ulah manusia sndiri maksiat yg jg jd faktor turunya bencana
sosial kemanusiaan,gw tinggal daerah situ jembatan bireuentakengon bbrrl rumah hanyut bawa sungai sungai luap ampe masjid deket sungai ampir kena
sosial kemanusiaan,tendisius bgt
pembalakan liar,salah siasia harap ubah negri ini jawab sama tidak buruk
sosial kemanusiaan,propesor money heist
sosial kemanusiaan,gerak bantu sahabat d bicara waras bijaksana butuh ya bang semangat ngontenya bang
sosial kemanusiaan,ton beras sumatra
sosial kemanusiaan,udah lihat berita tebang liar manaana tetab biarin perintah akan akan
kebijakan pemerintah,turut bikin status bencana nasional pulau jawa kena sungguh malu
sosial kemanusiaan,mana indonesia kapal induk as buka akses bantu sumatera tsunami sayang sibuk
sosial kemanusiaan,puluh aceh nya kota langsa banjir kali emang yg banjir banjir kait padam nya listrik internet lampau batas hubung keluarga kota langsa aceh
alih fungsi hutan,yg bkin hutan gundul kecuali pemerint
pembalakan liar,gk nypblos prabowo prabowo lahir darah biru kayak mana gk rasa derita rasa kalo negri aja semangat gilir sumatra boro boro bantu telat
kebijakan pemerintah,kuat sumatera aceh sumbar tau rezim masalah status bencana nasional tetap presiden gelintir jabat bisnis lahan usaha sumatera duka mati rakyat nya duka lambat distribusi gagal panen hambat operasional tanya presiden hormat tetap bencana landa provinsi indonesia bencana nasional malu influence cepat kirim bantu perintah pusat nkri hati stay on the track bang fer suara suara rakyat moga sehat berkah moga telinga jabat dzolim
alih fungsi hutan,sebab tambang liar enak pt buka sawit hutan tebang in enak pt
kebijakan pemerintah,negara republik gagal bangga negara satu jajah perintah moga sumatera pulih moga tabah mudah urus mangsa kes
pembalakan liar,kdm nyata
sosial kemanusiaan,sayang acehku korban tpi abai
sosial kemanusiaan,years ago memimpinotw bangun dinasti moga saudara hadap coba tabah selamat depan lestari lingkung
sosial kemanusiaan,tolong kompeten
alih fungsi hutan,faktor utama deforestasi cuaca ekstrim tuju
sosial kemanusiaan,kocak adem kombinasi p u l a u w i n banget
sosial kemanusiaan,dar ralat lu fer siklon sebab musibah aceh sumut sumbar siklon senyar b siklon koto koto gak hubung dgn ind krn posisi timur laut vietnam curah hujan tinggi tapanuli tenga milimeter milimeter yg elu tolong data sumber lu hrs revisi biar valid thx pos ronda mayor
kebijakan pemerintah,bang fery presiden aja bang calonin
pembalakan liar,korban
kebijakan pemerintah,bikin sumur resap biar banjir
sosial kemanusiaan,langsung video kayak ngasih tau loh untung tangan bencana tuh wajib untung ambil tindak ya video karna untung gerak wkwkwk
pembalakan liar,bbm ecer k k liter
alih fungsi hutan,jelang ajh bencana evaluasi alam tahun hutan alam ruksak alih fungsi
sosial kemanusiaan,point inkompetensi buruk jahat ga jahat anggap laku benar muak banget orang yg inkompeten duduk posisi krusial
kebijakan pemerintah,uda inkompetensi ga mao ubah ga mao claim bencana nasional blog emang ni kuasa
kebijakan pemerintah,inkompetensi ga salah sungguh padu goblok haqiqi gatau kasih tau gimana biar ubah
kebijakan pemerintah,nepalkan ngamuk media doang bodo untung masuk kantong pribadi pimpin aja boneka
kebijakan pemerintah,bener negeri jabat yg jahat tp kompeten etik jahat goblok borong
pembalakan liar,salah politik balas budi budaya nepotisme negara titip jabat sodara si anu si si ono akibat nya yg duduk posisi nya orang yg kompeten
kebijakan pemerintah,alam pulih manusia amanat pelihara alam sebab rusa
kebijakan pemerintah,doain bang feri presiden aamiin
kebijakan pemerintah,yg izin pusat hutan nasional tambang izin nasional perintah daerah gak wewenang kepala daerah kalo pakai lahan utk jalan aja mesti izin pusat tanah bnyak yg hgu yg hasil nikmat org yg bencana utk masyarakat
sosial kemanusiaan,akibat moga ajar jadi viral yg kmaren daerah situ sy sayang tp doa musibah moga warga sana tabah bantu aamiin
alih fungsi hutan,oramg presidenny aja gapeduli deforestasi mlahan geber tuh nanem sawit sya ga padang lubuk minturun bner parah
sosial kemanusiaan,bang bang takut bobi sibolga
kebijakan pemerintah,sumatera fasilitas sulit jabat daerah ngapain aja jabat daerah kayakaya kerangkeng manusia jawa fasilitas lengkap ya jabat daerah kerja pejabatpejabat daerah jawa kaya kalah loh jabat daerah jawa daerah jawa tinggal bencana ga parah kalo perintah daerah tanggap jadi wilayah perintah daerah paham medan nungguin gera perintah pusat contoh bencana tanah longsor jateng erupsi meru ga tuh warga nyalahin pusat perintah daerah kerja tanggap orang jawa liat anti banget ngritik jabat daerah beda jawa jawa kalo bupati wali kota gubernur anggap ga becus orangorangnya protes gubernur jatim khofifah aja banget kritik orang jatim kerja banding gubernur jawa ya gubernur riau tangkap korupsi orang riau ngebela gubernur papua gitu tangkap sangka korupsi dilindungin orang sampe ricuh orang jawa banyak milih nyalahin jawa nyalahin jabat daerah milih ngetik ras orang jawa sosmed ngritik pejabatpejabat daerah ga becus
sosial kemanusiaan,moga tenggal pulau jawa lu ngentoddddddddddddddd w doa biar jjakarta kgk tenggam or orang jawa gk kena musibah tpi nya orang sumatra musibah salah dasar orang otak monyet moga ddi yg lu pade yg kena taiiiiiiiiiiiiiii
kebijakan pemerintah,prihatin bencana knapa perintah cuman fokus status bencana apa status perintah cepat tanggap
pembalakan liar,negara gagal cegah nya cegah mohon cerah nya
sosial kemanusiaan,prabowo dikabarin ya lingkar sumatra bencana info bencana gara beliau ga pegang hp
sosial kemanusiaan,jabat negara pimpin bantu rakyat indonesia kena banjir bagi piagam harga guruguru paham situasi inimereka marah
alih fungsi hutan,salah poin yg ferry hati jgn sampe luka ulang acehsumutsumbar asa dendam kesal benci anak tiri picu ketidakstabilan aman indonesia moga perintah paham maksud sembunyi ferry
